"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-03-25,1,2026-03-22,0.01,2104.98,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.025,2113.85,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.05,2124.6,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.1,2136.9,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.15,2143.7,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.2,2156.8,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.25,2163.5,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.3,2174.1,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.35,2182.3,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.4,2193,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.45,2199.55,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.5,2203.5,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.55,2207,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.6,2211.4,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.65,2216.35,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.7,2220.6,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.75,2226,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.8,2232.4,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.85,2236.15,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.9,2243.3,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.95,2259.25,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.975,2273.625,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.99,2297.04,"quantile","ILI incidence","AT"
2026-03-25,1,2026-03-22,0.01,131.89,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.025,137.425,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.05,139,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.1,143.9,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.15,145,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.2,148.8,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.25,151,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.3,152,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.35,153,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.4,153.6,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.45,156,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.5,158,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.55,159,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.6,162,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.65,163,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.7,164.3,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.75,166.25,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.8,170.2,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.85,173.15,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.9,177.1,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.95,180.05,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.975,181.525,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.99,182.13,"quantile","ILI incidence","BE"
2026-03-25,1,2026-03-22,0.01,0,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.025,0,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.05,0.95,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.1,1,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.15,2,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.2,2,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.25,2,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.3,2,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.35,3,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.4,3,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.45,3,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.5,3,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.55,4,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.6,4,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.65,4,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.7,4,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.75,5,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.8,5,"quantile","ILI incidence","HR"
2026-03-25,1,2026-03-22,0.85,5.15000000000001,"quantile","ILI incidence","HR"
